School ID,NAME_OF_SCHOOL,HEALTHY_SCHOOL_CERTIFIED,SAFETY_SCORE,COLLEGE_ENROLLMENT,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME
610009,Galileo Math & Science Scholastic Academy Elementary School,No,65,606,28,NEAR WEST SIDE
610072,Garrett A Morgan Elementary School,No,28,237,71,AUBURN GRESHAM
610293,Genevieve Melody Elementary School,No,61,315,26,WEST GARFIELD PARK
609779,George Armstrong International Studies Elementary School,No,59,1509,2,WEST RIDGE
610062,George B McClellan Elementary School,No,49,283,60,BRIDGEPORT
610196,George B Swift Elementary Specialty School,No,61,709,77,EDGEWATER
609849,George F Cassell Elementary School,No,76,358,74,MOUNT GREENWOOD
609761,George H Corliss High School,No,33,621,50,PULLMAN
610305,George Leland Elementary School,No,,182,25,AUSTIN
610048,George Manierre Elementary School,No,43,396,8,NEAR NORTH SIDE
610139,George M Pullman Elementary School,No,59,259,50,PULLMAN
609795,George Rogers Clark Elementary School,No,39,297,25,AUSTIN
609760,George Washington Carver Military Academy High School,No,53,532,54,RIVERDALE
609845,George Washington Carver Primary School,No,25,546,54,RIVERDALE
610219,George Washington Elementary School,No,58,813,52,EAST SIDE
609739,George Washington High School,No,46,1524,52,EAST SIDE
609900,George W Curtis Elementary School,No,23,504,49,ROSELAND
609693,George Westinghouse High School,No,74,828,23,HUMBOLDT PARK
610202,George W Tilton Elementary School,No,6,321,26,WEST GARFIELD PARK
609920,Gerald Delgado Kanoon Elementary Magnet School,No,44,713,30,SOUTH LAWNDALE
610187,Graeme Stewart Elementary School,No,49,280,3,UPTOWN
610285,Granville T Woods Math & Science Academy Elementary School,No,35,402,67,WEST ENGLEWOOD
610383,Greater Lawndale High School For Social Justice,No,43,371,30,SOUTH LAWNDALE
609857,Grover Cleveland Elementary School,No,64,688,16,IRVING PARK
610241,Guglielmo Marconi Elementary Community Academy,No,26,245,26,WEST GARFIELD PARK
609741,Gurdon S Hubbard High School,No,42,1672,65,WEST LAWN
609726,Gwendolyn Brooks College Preparatory Academy High School,No,64,783,49,ROSELAND
610182,Hannah G Solomon Elementary School,No,78,363,13,NORTH PARK
610068,Hanson Park Elementary School,No,35,1499,19,BELMONT CRAGIN
610124,Harold Washington Elementary School,No,28,549,47,BURNSIDE
610192,Harriet Beecher Stowe Elementary School,No,28,893,23,HUMBOLDT PARK
610158,Harriet E Sayre Elementary Language Academy,No,68,605,25,AUSTIN
609974,Hawthorne Elementary Scholastic Academy,Yes,92,569,6,LAKE VIEW
609985,Helen M Hefferan Elementary School,No,29,259,26,WEST GARFIELD PARK
610122,Helen Peirce International Studies Elementary School,No,58,977,77,EDGEWATER
609972,Helge A Haugan Elementary School,No,43,1299,14,ALBANY PARK
609856,Henry Clay Elementary School,No,38,633,55,HEGEWISCH
610040,Henry D Lloyd Elementary School,No,,1334,19,BELMONT CRAGIN
610092,Henry H Nash Elementary School,No,41,393,25,AUSTIN
610279,Henry O Tanner Elementary School,No,33,448,69,GREATER GRAND CROSSING
609861,Henry R Clissold Elementary School,No,45,588,75,MORGAN PARK
610297,High School of Leadership at South Shore,No,,731,43,SOUTH SHORE
609798,Hiram H Belding Elementary School,No,64,672,16,IRVING PARK
609768,Hope College Preparatory High School,No,31,561,68,ENGLEWOOD
609850,Horace Greeley Elementary School,No,65,611,6,LAKE VIEW
610052,Horace Mann Elementary School,No,28,472,46,SOUTH CHICAGO
610058,Horatio May Elementary Community Academy,No,42,458,25,AUSTIN
609713,Hyde Park Academy High School,No,29,1518,42,WOODLAWN
610390,Hyman G Rickover Naval Academy High School,No,64,423,77,EDGEWATER
610110,Ida B Wells Preparatory Elementary Academy,No,49,215,35,DOUGLAS
610273,Ignance Paderewski Elementary Learning Academy,No,31,130,30,SOUTH LAWNDALE
610384,Infinity Math Science and Technology High School,No,58,388,30,SOUTH LAWNDALE
610078,Inter-American Elementary Magnet School,No,67,690,6,LAKE VIEW
609848,Ira F Aldridge Elementary School,No,39,285,54,RIVERDALE
610532,Irene C. Hernandez Middle School for the Advancement of Science,No,34,970,63,GAGE PARK
610125,Irma C Ruiz Elementary School,Yes,57,916,31,LOWER WEST SIDE
610276,Irvin C Mollison Elementary School,No,44,244,38,GRAND BOULEVARD
610103,Isabelle C O'Keeffe Elementary School,No,17,575,43,SOUTH SHORE
610256,Jackie Robinson Elementary School,No,,140,36,OAKLAND
609797,Jacob Beidler Elementary School,No,63,411,27,EAST GARFIELD PARK
609766,Jacqueline B Vaughn Occupational High School,No,57,203,15,PORTAGE PARK
609912,James B Farnsworth Elementary School,No,55,574,11,JEFFERSON PARK
610070,James B McPherson Elementary School,No,71,695,4,LINCOLN SQUARE
610066,James E McDade Elementary Classical School,No,99,199,44,CHATHAM
609803,James G Blaine Elementary School,No,99,923,6,LAKE VIEW
609983,James Hedges Elementary School,No,22,845,61,NEW CITY
610047,James Madison Elementary School,No,39,317,43,SOUTH SHORE
610074,James Monroe Elementary School,No,45,1125,22,LOGAN SQUARE
610200,James N Thorp Elementary School,No,32,449,46,SOUTH CHICAGO
610107,James Otis Elementary School,No,83,491,24,WEST TOWN
609891,James R Doolittle Jr Elementary School,No,30,306,35,DOUGLAS
610044,James Russell Lowell Elementary School,No,39,593,23,HUMBOLDT PARK
610174,James Shields Elementary School,No,38,1834,58,BRIGHTON PARK
610213,James Wadsworth Elementary School,No,,277,42,WOODLAWN
610217,James Ward Elementary School,No,49,492,34,ARMOUR SQUARE
610274,James Weldon Johnson Elementary School,No,67,365,29,NORTH LAWNDALE
609772,Jane Addams Elementary School,No,56,928,52,EAST SIDE
610093,Jane A Neil Elementary School,No,42,306,44,CHATHAM
609796,Jean Baptiste Beaubien Elementary School,No,63,1181,11,JEFFERSON PARK
610031,Jean D Lafayette Elementary School,No,44,474,24,WEST TOWN
610271,Jensen Elementary Scholastic Academy,No,35,364,27,EAST GARFIELD PARK
609932,Jesse Owens Elementary Community Academy,No,,340,53,WEST PULLMAN
610173,Jesse Sherwood Elementary School,No,38,355,68,ENGLEWOOD
609942,Johann W von Goethe Elementary School,No,75,786,22,LOGAN SQUARE
610216,John A Walsh Elementary School,Yes,60,501,31,LOWER WEST SIDE
609789,John Barry Elementary School,No,35,800,20,HERMOSA
609894,John B Drake Elementary School,No,59,249,35,DOUGLAS
610089,John B Murphy Elementary School,No,80,638,16,IRVING PARK
610243,John Calhoun North Elementary School,No,52,328,27,EAST GARFIELD PARK
609829,John C Burroughs Elementary School,Yes,50,510,58,BRIGHTON PARK
609866,John C Coonley Elementary School,No,87,668,5,NORTH CENTER
609893,John C Dore Elementary School,No,74,590,64,CLEARING
609959,John Charles Haines Elementary School,No,32,664,34,ARMOUR SQUARE
610176,John D Shoop Math-Science Technical Academy Elementary School,No,32,553,75,MORGAN PARK
609898,John F Eberhart Elementary School,No,42,1777,66,CHICAGO LAWN
609919,John Fiske Elementary School,No,13,254,42,WOODLAWN
609718,John F Kennedy High School,No,53,1589,56,GARFIELD RIDGE
610263,John Foster Dulles Elementary School,No,42,537,69,GREATER GRAND CROSSING
610228,John Greenleaf Whittier Elementary School,No,65,409,31,LOWER WEST SIDE
609694,John Hancock College Preparatory High School,No,51,967,62,WEST ELSDON
609971,John Harvard Elementary School of Excellence,No,51,476,69,GREATER GRAND CROSSING
609975,John Hay Elementary Community Academy,No,44,554,25,AUSTIN
609964,John H Hamline Elementary School,No,33,679,61,NEW CITY
610026,John H Kinzie Elementary School,No,64,733,56,GARFIELD RIDGE
610207,John H Vanderpoel Elementary Magnet School,No,74,317,72,BEVERLY
609782,John J Audubon Elementary School,No,95,580,5,NORTH CENTER
610126,John J Pershing Elementary Humanities Magnet,No,,258,35,DOUGLAS
610054,John L Marsh Elementary School,No,72,841,51,SOUTH DEERING
609723,John Marshall Metropolitan High School,No,51,726,27,EAST GARFIELD PARK
609710,John M Harlan Community Academy High School,No,,1245,49,ROSELAND
609954,John Milton Gregory Elementary School,No,44,323,27,EAST GARFIELD PARK
610180,John M Smyth Elementary School,No,37,475,28,NEAR WEST SIDE
610199,Johnnie Colemon Elementary Academy,No,60,266,53,WEST PULLMAN
610111,John Palmer Elementary School,No,75,919,14,ALBANY PARK
609775,John P Altgeld Elementary School,No,48,527,67,WEST ENGLEWOOD
610184,John Spry Elementary Community School,No,66,809,30,SOUTH LAWNDALE
610269,John T McCutcheon Elementary School,No,56,355,3,UPTOWN
610130,John T Pirie Fine Arts & Academic Center Elementary School,No,26,384,44,CHATHAM
609864,John W Cook Elementary School,No,,482,71,AUBURN GRESHAM
609937,John W Garvy Elementary School,No,60,720,10,NORWOOD PARK
610225,John Whistler Elementary School,No,45,375,53,WEST PULLMAN
609828,Jonathan Burr Elementary School,No,71,348,24,WEST TOWN
610159,Jonathan Y Scammon Elementary School,No,44,937,16,IRVING PARK
609865,Jordan Elementary Community School,No,61,753,1,ROGERS PARK
610313,Jose De Diego Elementary Community Academy,Yes,57,869,24,WEST TOWN
609950,Josefa Ortiz De Dominguez Elementary School,No,,793,30,SOUTH LAWNDALE
610242,Joseph Brennemann Elementary School,No,50,362,3,UPTOWN
609938,Joseph E Gary Elementary School,No,32,1204,30,SOUTH LAWNDALE
610041,Josephine C Locke Elementary School,No,57,1317,18,MONTCLARE
610015,Joseph Jungman Elementary School,No,36,286,31,LOWER WEST SIDE
609925,Joseph Kellman Corporate Community Elementary School,No,58,293,27,EAST GARFIELD PARK
610043,Joseph Lovett Elementary School,No,43,490,25,AUSTIN
610189,Joseph Stockton Elementary School,No,37,462,3,UPTOWN
610218,Joseph Warren Elementary School,No,33,328,48,CALUMET HEIGHTS
610019,Joshua D Kershaw Elementary School,No,62,262,68,ENGLEWOOD
610129,Josiah Pickard Elementary School,No,50,656,31,LOWER WEST SIDE
610022,Joyce Kilmer Elementary School,No,,886,1,ROGERS PARK
610253,Julia C Lathrop Elementary School,No,67,83,29,NORTH LAWNDALE
610000,Julia Ward Howe Elementary School of Excellence,No,67,576,25,AUSTIN
610280,Kate S Buckingham Special Education Center,No,31,26,48,CALUMET HEIGHTS
610016,Kate S Kellogg Elementary School,No,76,283,72,BEVERLY
609716,Kelvyn Park High School,No,32,1252,20,HERMOSA
609746,Kenwood Academy High School,No,63,1852,39,KENWOOD
609719,Lake View High School,No,64,1500,6,LAKE VIEW
610368,Langston Hughes Elementary School,No,28,424,49,ROSELAND
610033,LaSalle Elementary Language Academy,No,99,576,7,LINCOLN PARK
610520,LaSalle II Magnet Elementary School,No,66,609,24,WEST TOWN
609910,Laughlin Falconer Elementary School,No,54,1520,19,BELMONT CRAGIN
610133,Laura S Ward Elementary School,No,,429,23,HUMBOLDT PARK
610034,Lawndale Elementary Community Academy,No,,508,29,NORTH LAWNDALE
610024,Lazaro Cardenas Elementary School,No,,654,30,SOUTH LAWNDALE
609907,Leif Ericson Elementary Scholastic Academy,No,33,518,27,EAST GARFIELD PARK
610298,Lenart Elementary Regional Gifted Center,No,79,328,44,CHATHAM
610036,Leslie Lewis Elementary School,No,21,565,25,AUSTIN
609738,Lincoln Park High School,No,65,2342,7,LINCOLN PARK
609807,Lionel Hampton Fine & Performing Arts Elementary School,No,42,658,70,ASHBURN
609834,Little Village Elementary School,No,45,842,30,SOUTH LAWNDALE
610325,Logandale Middle School,No,56,941,21,AVONDALE
609809,Lorenz Brentano Math & Science Academy Elementary School,No,57,455,22,LOGAN SQUARE
609773,Louis A Agassiz Elementary School,No,53,432,6,LAKE VIEW
609774,Louisa May Alcott Elementary School,No,,481,7,LINCOLN PARK
610156,Louis Armstrong Math & Science Elementary School,No,42,93,25,AUSTIN
610094,Louis Nettelhorst Elementary School,No,58,729,6,LAKE VIEW
610117,Louis Pasteur Elementary School,No,50,1173,62,WEST ELSDON
610237,Ludwig Van Beethoven Elementary School,No,40,411,38,GRAND BOULEVARD
